programme_name_corecat,programme_name_pes,programme_name_sales,genre,subgenre,synopsis,pes_views,revenue
Martin Lewis Extreme Savers,Martin Lewis Extreme Savers,MARTIN LEWIS EXTREME SAVERS,Lifestyle,Hobbies and Interests,"A fun and fascinating series, fronted by the nation’s most trusted money man, Martin Lewis, that spotlights the people who go to implausible lengths to protect their pennies...",58106,12000.0
Value for Money,,VALUE FOR MONEY,Factual,Business and Consumer,,,3835.0
The Sandbaggers,,THE SANDBAGGERS,Drama,Action and Adventure,"Roy Marsden stars as Neil Burnside, director of The Sandbaggers, a small and elite team in the British Secret Service who take on anything from assassination to aiding defectors to escape.",,53192.5
Tots TV,,TOTS TV,Childrens,Pre-School,"Three rag doll puppets live together in a countryside cottage: Tilly, a French girl, with red hair, who speaks in basic French; Tom, a blue haired boy with glasses; and Tiny, the green-haired youngest Tot.",,9000.0
Alive and Cooking,,ALIVE AND COOKING,Lifestyle,Health and Beauty,"A flagging love life, migraines, fertility and fatigue are among the subjects tackled by nutritionist Jane Clarke in this essential guide to healthy eating, packed with ideas for mouth-watering dishes.",,0.0
Unsaid Stories,Unsaid Stories,,Drama,Based on a True Story,A series of short stories inspired by the Black Lives Matter movement.,147238,
Chiller,,CHILLER,Drama,Horror,"Ghosts, serial killings, horrific accidents and the unborn dead are among the subjects in this acclaimed series of spine-chilling dramas. The five individual contemporary psychological thrillers feature a star-studded cast.",,13578.289999999999
Olivia Meets Her Match,Olivia Meets Her Match,OLIVIA MEETS HER MATCH,Entertainment,Celebrity,"Reality series following reality favourite Olivia Attwood, as she prepares for her wedding with footballer fiance Bradley.",1471630,68000.0
The Virtual Grand National,The Virtual Grand National,,Sport,Horse Racing,3D animation of The Grand National.,51133,
Peston,Peston,,Factual,Political,"Political interview programme hosted by the ITV News Political Editor Robert Peston, who provides viewers with an intelligent and lively approach to politics.",303474,
ITV Evening News,ITV Evening News,,News,News,The latest news from the ITV Evening News.,1288113,
Christmas Carols on ITV,Christmas Carols on ITV,CHRISTMAS CAROLS ON ITV,Religion,Worship/Services,"A traditional candlelight Christmas Eve carol service. Along with a host of favourite carols, the service also features Christmas prayers and bible readings.",50305,7500.0
Criterium Du Dauphine Highlights,Criterium Du Dauphine Highlights,,Sport,Event,Gary Imlach presents action from the Criterium du Dauphine. Commentary by Ned Boulting and David Millar with Matt Rendell at the roadside.,113801,
HM The Queen,HM The Queen,,Factual,Special Events,Her Majesty Queen Elizabeth II delivers her annual Christmas message to the nation and the Commonwealth.,188157,
Always and Everyone,,ALWAYS AND EVERYONE,Drama,Medical,"Life in the front line of the Accident and Emergency department of a busy city hospital is not easy for the doctors and nurses who work at Saint Victor's. Young, dedicated and idealistic, their work is challenging, unpredictable and dangerous.",,20000.0
